name,kCal,carbs,sugar,cookTime,img
Chocolate and banana mousse , 226, 18.7g, 15.0g,135,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2023-02/Choccy%20mousse_0.png?VersionId=M3mjI1ECmjJ1NZ3a8tfskknsGoVRIUHy&itok=DDuvq9c2
Green Thai fish curry, 188, 4.5g, 2.7g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2023-02/Green%20fish%20curry.png?VersionId=o19mpkZpaAYEdLJvPjQVCymiHGPEmDyY&itok=6sXJW4LD
Spanish Cod with Roasted Chickpeas and Peppers, 453, 33.41g, 11.26g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2023-01/cod.jpeg?VersionId=lECVfwxFek06mDlbdVYj3ZDyYTe2VE4T&itok=zag1sGf9
Chicken Chasseur with Roasted Potatoes, 466, 40.86g, 7.24g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2023-01/Chicken%20%281%29.jpeg?VersionId=SYVVVhUYrJChb92oMU2ulfGDhjlO.P0r&itok=Ccr7QoSz
Cauliflower kedgeree, 286, 14.8g, 7.3g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-12/Cauliflower%20Kedgeree.jpg?VersionId=xZX0rvHjhYt4wciIEGNBv1Y9ZvrKEs.1&itok=frayhJU0
Aubergine parmigiana , 247, 19.2g, 16.7g,65,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-12/Aubergine%20parmigiana.jpg?VersionId=4igN12edRZNs4Ws9uDyUfXxe1OMb2OCR&itok=FlMXXtL6
Spiced Hake with Roasted Broccoli Tray Bake, 499, 38.26g, 16.87g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2023-01/hake%20%281%29.jpeg?VersionId=ebuWbLcYPKH5ordNYgwQ_AerzATpNP15&itok=gm8ObNVn
"Tiger Prawn, Beets and Apple Salad with Horseradish", 442, 37.82g, 16.92g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2023-01/prawn%20%281%29.jpeg?VersionId=c0rhEJS4YslZF0i_M6GJdm_YwZsefY2q&itok=b7bge7aQ
Seabass with Sage Romesco and Brussels Sprouts, 403, 39.08g, 7.64g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-11/seabass.jpeg?VersionId=uU4iTYhMYf8UZM5RF4CgOnmkk9XiF3dg&itok=FB43iVGV
Festive Turkey Tagine, 457, 50.1g, 21.45g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-11/tagine.jpeg?VersionId=GeixdZpYY1aeTG1QjrBs9DSZHW__3it_&itok=HO8aTpGt
Warm spiced tropical fruits with coconut yogurt, 91, 16.3g, 15.8g,9,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-12/Warm%20spiced%20tropical%20fruits%20with%20coconut%20yogurt.jpg?VersionId=H1xwN6hj8DBkyGqY04CT8bvgReMW2Mcv&itok=Gd5S_pPA
Jelly and banana trifles, 183, 19.3g, 16.0g,70,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-12/Fruit%20trifle.png?VersionId=6D5WwQsPvoW0MQepNOd8U7lDSLSm7Ka7&itok=ubxXlpqG
Steak & pepper quesadillas, 246, 28.0g, 6.9g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/Steak%20%26%20pepper%20quesadillas%201000x600%20%281%29%20%281%29.jpg?VersionId=drsw2IWJw5yPYsUwi3OTlqQncig0FUZB&itok=LYpIfUXF
Sausage & bacon omelette, 345, 13.1g, 9.9g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/sausage%20bacon%20omelette%201000x600_0.jpg?VersionId=U5iUJT7FH35a6kZMoRFN6A5CFwKPCd2m&itok=xdKJw7sA
2-ingredient pancakes , 343, 57.7g, 52.5g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/2%20ingredient%20pancakes%201000x600_0.jpg?VersionId=psRhT53sNlZEEMG4p_ofN781pZUWkE5y&itok=lY7ln9C1
Mini bagels with smoked salmon spread, 332, 46.0g, 6.2g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/mini%20salmon%20bagels%201000x600.jpg?VersionId=ZJTB6Q5YRNvTOPg9FPmdsPrx0H_19r2s&itok=s9oI_ED8
Apple & cranberry bircher muesli, 289, 50.5g, 27.3g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/Apple%20and%20cranberry%20bircher%20muesli%201000x600_0.jpg?VersionId=7pnynBaVUheM3deKht7VSjF8DgpXD9Su&itok=pf7_uibP
Tropical fruit & wine ice lollies, 34, 3.1g, 2.7g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-07/Tropical%20fruit%20%26%20wine%20ice%20lollies%20%281%29.jpg?VersionId=ItvzOfA0CeJgD57Tfl65ptUqm7qVA6UG&itok=x--euvAN
Prawn & dill open sandwich , 201, 22.0g, 4.9g,5,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-07/Prawn-and-dill-sandwich%20%281%29.jpg?VersionId=L8q0.8NQ_hAJ24kXD1f3usHEHbRVO.w6&itok=brmVDsa7
Tuna Niçoise salad , 221, 20.0g, 3.5g,14,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-07/Tuna-salad-1000x600%20%281%29%20%281%29%20%282%29.jpg?VersionId=cfzH.WYKeDo5AiPr0eTxy3NicsN8hYHB&itok=hfpjAQ3o
"Parma ham, beetroot & mozzarella salad ", 237, 24.0g, 9.8g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-07/Parma-ham-salad-1000x600%20%282%29.jpg?VersionId=oLF5UMelbvurgq5k0bcnyT4NQiI343_5&itok=YYotdpmb
Blueberry and avocado creamsicles, 85, 9.7g, 9.4g,490,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Blueberry%20%26%20Avocado%20Creamsicles%20wide.jpg?VersionId=twnxNa5QdISUjQU5ci2ibarjG3pt0JP7&itok=H5ab2Ty9
Spicy vegetable samosas , 205, 37.2g, 9.5g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/shutterstock_1010318461.jpg?VersionId=vnHgi_KHTn5da7MBrokG8Hp0_Inskjm6&itok=UJqs5YM9
Super soba noodles, 400, 55.7g, 15.0g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Soba%20noodles%201000x600.jpg?VersionId=z3A3GuJkChd6E9XlNykn0MuSb9bkK1A6&itok=-0kG_6dB
Chicken noodles, 430, 62.0g, 3.8g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Chicken-noodles.jpg?VersionId=rbKSwWoBG7k5X.wkJMYkzLcP.Gi3TmoC&itok=t_cBhRs5
